dr-jae-yong-suk-receives-best-paper-award-at-2019-arcc-conference,https://ceid.utsa.edu/dr-jae-yong-suk-receives-best-paper-award-at-2019-arcc-conference/
construction-industry-plagued-by-labor-shortages-nationwide-including-in-san-antonio,https://ceid.utsa.edu/construction-industry-plagued-by-labor-shortages-nationwide-including-in-san-antonio/
studio-x-designs-builds-outdoor-classroom-in-collaboration-with-green-spaces-alliance-south-texas,https://ceid.utsa.edu/studio-x-designs-builds-outdoor-classroom-in-collaboration-with-green-spaces-alliance-south-texas/
dr-petrov-invited-to-serve-on-utsa-community-research-sustainable-partnerships-advocacy-taskforce,https://ceid.utsa.edu/dr-petrov-invited-to-serve-on-utsa-community-research-sustainable-partnerships-advocacy-taskforce/
utsa-to-research-environmental-comfort-at-the-san-antonio-missions,https://ceid.utsa.edu/utsa-to-research-environmental-comfort-at-the-san-antonio-missions/
utsa-construction-science-begins-transfer-partnership-with-st-philips,https://ceid.utsa.edu/utsa-construction-science-begins-transfer-partnership-with-st-philips/
american-concrete-institute-donates-equipment-to-utsas-construction-science-department,https://ceid.utsa.edu/american-concrete-institute-donates-equipment-to-utsas-construction-science-department/
utsa-architecture-students-win-three-awards-at-2019-ies-dallas-student-lighting-design-competition,https://ceid.utsa.edu/utsa-architecture-students-win-three-awards-at-2019-ies-dallas-student-lighting-design-competition/
faculty-spotlight-amir-karimi,https://ceid.utsa.edu/faculty-spotlight-amir-karimi/
staff-spotlight-mary-riedel,https://ceid.utsa.edu/staff-spotlight-mary-riedel/
new-employee-staci-francis,https://ceid.utsa.edu/new-employee-staci-francis/
new-employee-yanmin-gong,https://ceid.utsa.edu/new-employee-yanmin-gong/
new-employee-heidi-harwick,https://ceid.utsa.edu/new-employee-heidi-harwick/
new-employee-dhireesha-kudithipudi,https://ceid.utsa.edu/new-employee-dhireesha-kudithipudi/
new-employee-jeanette-oruc-de-leon,https://ceid.utsa.edu/new-employee-jeanette-oruc-de-leon/
new-employee-settimio-pacelli,https://ceid.utsa.edu/new-employee-settimio-pacelli/
cps-energy-supports-clean-energy-and-grid-cybersecurity-research-at-utsa,https://ceid.utsa.edu/cps-energy-supports-clean-energy-and-grid-cybersecurity-research-at-utsa/
utsa-to-host-grand-opening-of-large-scale-testing-laboratory,https://ceid.utsa.edu/utsa-to-host-grand-opening-of-large-scale-testing-laboratory/
three-utsa-civil-environmental-engineering-professors-appointed-to-aci-318-building-code-committee,https://ceid.utsa.edu/three-utsa-civil-environmental-engineering-professors-appointed-to-aci-318-building-code-committee/
staff-spotlight-ruben-arciniega,https://ceid.utsa.edu/staff-spotlight-ruben-arciniega/
faculty-spotlight-hugo-giambini,https://ceid.utsa.edu/faculty-spotlight-hugo-giambini/
new-employee-jerod-ryan,https://ceid.utsa.edu/new-employee-jerod-ryan/
chris-smith-of-zehnder-america-discusses-practices-to-improve-indoor-air-quality-oct-9,https://ceid.utsa.edu/chris-smith-of-zehnder-america-discusses-practices-to-improve-indoor-air-quality-oct-9/
first-utsa-students-invited-to-premier-nasa-competition,https://ceid.utsa.edu/first-utsa-students-invited-to-premier-nasa-competition/
utsa-cacp-2019-distinguished-alumni-awards,https://ceid.utsa.edu/utsa-cacp-2019-distinguished-alumni-awards/
faculty-spotlight-jeanette-oruc-de-leon,https://ceid.utsa.edu/faculty-spotlight-jeanette-oruc-de-leon/
staff-spotlight-tracy-cielencki,https://ceid.utsa.edu/staff-spotlight-tracy-cielencki/
utsa-cacp-speaker-series-nov-4-with-aaron-betsky-of-the-school-of-architecture-at-taliesin,https://ceid.utsa.edu/utsa-cacp-speaker-series-nov-4-with-aaron-betsky-of-the-school-of-architecture-at-taliesin/
utsa-cacp-speaker-series-continues-nov-11-with-kevin-alter-of-ut-austin,https://ceid.utsa.edu/utsa-cacp-speaker-series-continues-nov-11-with-kevin-alter-of-ut-austin/
fronteras-heritage-conservation-is-not-just-about-buildings-here-its-about-the-people,https://ceid.utsa.edu/fronteras-heritage-conservation-is-not-just-about-buildings-here-its-about-the-people/
engineering-students-to-display-innovations-at-tech-symposium,https://ceid.utsa.edu/engineering-students-to-display-innovations-at-tech-symposium/
sue-ann-pemberton-faia-named-an-outstanding-alumna-by-texas-am-college-of-architecture,https://ceid.utsa.edu/sue-ann-pemberton-faia-named-an-outstanding-alumna-by-texas-am-college-of-architecture/
architecture-alumna-azadeh-sagheb-lands-finalist-spot-for-prestigious-historic-preservation-award,https://ceid.utsa.edu/architecture-alumna-azadeh-sagheb-lands-finalist-spot-for-prestigious-historic-preservation-award/
utsa-architecture-students-andre-simon-ivan-ventura-win-aia-san-antonio-student-design-award,https://ceid.utsa.edu/utsa-architecture-students-andre-simon-ivan-ventura-win-aia-san-antonio-student-design-award/
advanced-robotics-to-host-first-sumobot-competition,https://ceid.utsa.edu/advanced-robotics-to-host-first-sumobot-competition/
program-prepares-students-for-future-careers-in-nuclear-security,https://ceid.utsa.edu/program-prepares-students-for-future-careers-in-nuclear-security/
utsa-engineering-students-build-interactive-exhibits-to-engage-children-at-the-doseum,https://ceid.utsa.edu/utsa-engineering-students-build-interactive-exhibits-to-engage-children-at-the-doseum/
darryl-ohlenbusch-presents-utsa-cacp-design-build-studio-work-in-bologna,https://ceid.utsa.edu/darryl-ohlenbusch-presents-utsa-cacp-design-build-studio-work-in-bologna/
infrared-paint-curing-system-takes-top-prize-at-tech-symposium,https://ceid.utsa.edu/infrared-paint-curing-system-takes-top-prize-at-tech-symposium/
bizios-named-a-fellow-of-the-national-academy-of-inventors,https://ceid.utsa.edu/bizios-named-a-fellow-of-the-national-academy-of-inventors/
researchers-nanodisk-could-restore-function-for-lou-gehrigs-disease-patients,https://ceid.utsa.edu/researchers-nanodisk-could-restore-function-for-lou-gehrigs-disease-patients/
staff-spotlight-monica-casanova,https://ceid.utsa.edu/staff-spotlight-monica-casanova/
faculty-spotlight-lyle-hood,https://ceid.utsa.edu/faculty-spotlight-lyle-hood/
new-employee-desmond-graham,https://ceid.utsa.edu/new-employee-desmond-graham/
new-employee-carlos-velez,https://ceid.utsa.edu/new-employee-carlos-velez/
adolfo-matamoros-honored-as-sei-fellow,https://ceid.utsa.edu/adolfo-matamoros-honored-as-sei-fellow/
following-a-passion-for-math-and-problem-solving-at-utsa,https://ceid.utsa.edu/following-a-passion-for-math-and-problem-solving-at-utsa/
staff-spotlight-marivel-guerrero,https://ceid.utsa.edu/staff-spotlight-marivel-guerrero/
anson-ong-elected-fellow-biomaterials-science-and-engineering,https://ceid.utsa.edu/anson-ong-elected-fellow-biomaterials-science-and-engineering/
faculty-spotlight-mehdi-shadaram,https://ceid.utsa.edu/faculty-spotlight-mehdi-shadaram/
celebrations-2,https://ceid.utsa.edu/celebrations-2/
utsa-cacps-dr-antonio-martinez-molina-named-a-certified-passive-house-designer,https://ceid.utsa.edu/utsa-cacps-dr-antonio-martinez-molina-named-a-certified-passive-house-designer/
utsa-cacps-dr-hazem-rashed-ali-named-to-aia-higher-education-advisory-team,https://ceid.utsa.edu/utsa-cacps-dr-hazem-rashed-ali-named-to-aia-higher-education-advisory-team/
researchers-collaborate-to-improve-urban-infrastructure-resilience,https://ceid.utsa.edu/researchers-collaborate-to-improve-urban-infrastructure-resilience/
faculty-spotlight-nehal-abu-lail,https://ceid.utsa.edu/faculty-spotlight-nehal-abu-lail/
celebrations-3,https://ceid.utsa.edu/celebrations-3/
melina-bautista-ph-d-presents-safe-drinking-water-supply-leveraging-the-drinking-water-microbiome-to-improve-monitoring-and-management,https://ceid.utsa.edu/melina-bautista-ph-d-presents-safe-drinking-water-supply-leveraging-the-drinking-water-microbiome-to-improve-monitoring-and-management/
